comment,labels
let me tell you about my bad experience first .,0
i have n't been back here in years .,0
good beer specials when i 've had their beer specials for the night .,1
"anything you could possibly want , they 've got it .",1
their homemade ice cream cookies rock as well !,1
because i really want to like harris grill .,0
the food is good to .,1
we were not pleased and will definitely not be visiting this restaurant again .,0
our new favorite breakfast/lunch place to go .,1
this is by far the worst chinese food i have ever had .,0
at that point it goes from mildly amusing to uncomfortable and rude .,0
this is why i love harris teeter and keep coming back .,1
i visited here last year and had the time of my life .,1
went here for a private party : it was lovely .,1
prices are n't great for what you 're getting .,0
i am torn on this late night pizza joint .,0
they do n't provide it because they do n't want you to find them .,0
we love you monica !,1
"oh , and they have a good beer selection .",1
it 's not like i took a long time deciding what i wanted .,0
turned out to be a big disappointment .,0
this place was a waste of our time and money .,0
i will not go back .,0
this makes me very happy .,1
he took very good care of us !,1
"they are best known for their cakes , it seems .",1
this place is a disaster .,0
this hotel is dirty and smells bad .,0
mushroom bolognese pasta was terrific .,1
best italian food i have had since going to italy .,1
the pizza is always piping hot and made well .,1
this is my favorite sunday brunch buffet spot in charlotte .,1
always good food and friendly service !,1
"lights were out , nobody home .",0
the place was empty .,0
"she will take care of you , and always do it with a smile !",1
the ribeye steak sandwich is my favorite .,1
thanks for a great experience and we 'll be back soon .,1
i 'm really excited about what those two will work on together .,1
"actually , everyone who helped me were all top notch !",1
i enjoyed those almost as much as the beer .,1
"i 've never sent back food , ever , but this was ridiculous .",0
they have their own parking lot so its easy access .,1
as for the food .,0
"my sides , german potato salad and braised red cabbage , were equally awful .",0
total travel of what could be _num_ turned into almost _num_ hrs .,0
"pizza , pasta , salad ... .",1
"it was late at night near closing , only thing i could find open .",0
beef and chicken teriyaki was really good .,1
the hard part will be what to select from all the amazing dishes !,1
it is worth the trip .,1
absolutely amazing and beautiful venue .,1
it was not worth fighting campus traffic to get there .,0
"it just seems every time i go , something is n't right .",0
d 's the the best !,1
poor food handling practices !,0
the beef was utterly dry and flavorless .,0
all i got was a smoking room .,0
"anything more than an oil change , i would n't trust them .",0
food : a solid _num_ stars .,1
i got tired of spending _num_ minutes of my lunch break waiting in line .,0
just my _num_ cents .,0
we were there for over _num_ minutes before we received chips and salsa .,0
the drinks were good .,1
michael is a master with color .,1
it was so underwhelming .,0
friendly service with a smile .,1
do check this place out !,1
i love this place !,1
"this is a casual restaurant , good value , with a charming family feel .",1
love the vibe and feel anytime i enter this stadium !,1
"otherwise , i do n't think i 'll order from there again .",0
meghan at the front desk & the manager jim really helped us out !,1
like they have no idea what they are doing .,0
would not stay there again and would not recommend it to you .,0
we will definitely be back .,1
"talking to friends over the weekend , we were told it was pretty good .",0
oh my gosh are the cakes great .,1
somebody 's `` big momma '' is in the kitchen cooking it up right !,1
friend had the lasagna and she said it was great .,1
it 's an embarrassment on walnut .,0
definitely one of the best places to go in charlotte .,1
"extremely friendly staff , very clean , luxurious , and accommodating .",1
that potato pancake with the gorgonzola was delicious !,1
about _num_ minutes later someone came with soap .,0
and all they do is apologize but ca n't solve any problems .,0
"dull gray , soupy , greasy , salty and watery , yet somehow sticky .",0
"overall great atmosphere - young , talkative , fun crowd .",1
"this , i have to say is a major disappointed .",0
stumbled across this gem !,1
i had a italian hoagie and it was great .,1
"i 'm serious , i stood there shocked and wondering what was happening .",0
this a great spot for a lobster roll .,1
the rooms well done .,1
the drinks are worth trying but it is not great .,0
i wo n't be back .,0
our waitress was mia most of the night .,0
the worse store ever in costumer service !,0
also a nice way to impress a client for a business lunch .,1
this restaurant has really gone downhill over the last few years .,0
everyone there was extremely patient and pleasant .,1
it is $ _num_ just to walk in the door .,0
"beautifully designed , so much detail in the rooms and common areas .",1
good food options after tsa .,1
the service was great too .,1
fresh chinese during business lunch time .,1
wo n't try it again .,0
breaded and super crispy ... yum !,1
the place is dirty dirty dirty .,0
"the worst part is , i got sick for _num_ days after .",0
"staff is excellent , especially john and alex .",1
"first of all , the food came very quickly , which is rare .",0
clean and friendly service .,1
"the room itself was very basic , which i expected and did not mind .",0
sat at the bar at about _num_ saturday for appetizers and drinks .,0
the guy who works there seems very stressed and angry .,0
hot dogs were delicious and fun to mix and match toppings .,1
he knows his business .,1
will was our driver .,0
the atmosphere fits the cuisine and i loved all of it .,1
fun place to eat with a group and enjoy conversation .,1
the total was $ _num_ and change .,0
just the best there is .,1
what i have a problem with is all the nasty flies in the building .,0
i would recommend it to friends .,1
go check out this spot .,1
i love the glass center .,1
"great coffee , great tea , and great prices .",1
they are so caring and friendly here !,1
it 's great that we can get authentic japanese food in charlotte .,1
food : food service is poor though the food is fairly good .,0
service with a smile .,1
waitress did apologize for cup but it was too late - chose to leave .,0
i love that they feature new flavors every day to keep things interesting .,1
for some reason i always have to connect between terminal e and terminal a .,0
fyi : no smoking in any bar or restaurant anywhere in north carolina .,0
"no one smiled , and my coffee order was messed up .",0
you 're always so good to me .,1
these are the best pierogies ever !,1
i would definitely eat here again .,1
we still had not gotten any drinks and not placed an order .,0
"very casual , small menu , good , attentive service .",1
"pretty good pizza , awesome wings and okay prices .",1
our $ _num_ dinner was worth every penny .,1
the initial one that i received had obviously been sitting out too long .,0
i ordered the chicken marsala ( waitress 's favorite ) and it was disgusting .,0
"but i placed the order online , then i am on hold again .",0
our servers name was jeremy and he made our experience even better .,1
"authentic upscale italian cuisine , in classic upscale mediterranean ambiance .",1
great hole-in-the-wall restaurant in an ok location .,1
"this is the best coffee and speciality bean shoppe in pittsburgh , hands down !",1
"soul food , sounds good to me !",1
"speaking of desserts , i remember being pleasantly surprised with the bourbon pecan pie .",1
the meatballs were great .,1
the checkout line was also backed up on good friday .,1
it 's like they are trying to make the ghetto look classy .,0
the lighting was poor .,0
my new go-to place as i just moved to the area .,1
would n't the lobby call or knock on my door ?,0
great atmosphere and friendly service nonetheless !,1
good place to go for something different and tasty !,1
i love the pretzel cones .,1
i had an unusual request and they handled it like an every day event .,1
"he offered no explanation , and i did n't bother to ask why .",0
and it 's loud .,0
the yams were hard as if they were freshly cut and simply plated .,0
i was really excited to come here and usually really like cajun food .,0
thanks guys for always being professional and for your good customer service .,1
really marvelous art presented in a beautiful setting .,1
it was not spicy .,0
the food is good - the location - also nice .,1
"maybe , to try the breakfast everyone seems to enjoy so much .",0
"friendly bartenders , full bar , awesome specials ( and good music ) .",1
just found this gem .,1
also the bartender was friendly and checked on us often enough .,1
this is the worst company for customer service we have ever encountered .,0
the decor instantly puts you at ease .,1
definitely worth a try .,1
they have plenty of shops and restaurants and the bathrooms are always clean .,1
maybe someone gave our order to another customer .,0
favorite bar i have been to in charlotte .,1
dealing with the service advisor at this dealership is useless .,0
"they were efficient , competent and professional .",1
what a great place to stop for a good meal before a pirates game .,1
this is a great spot .,1
so knowledgable and charming .,1
i 'm sure that this is a fluke and will be taken care of .,0
the staff did n't look very professional either .,0
that 's how to discover the excellent offerings at your new favorite chinese restaurant .,1
she was rude and i will never go here again !,0
it gets worse but will leave this review as is .,0
i almost missed my flight and will not be taking union cab again .,0
rotten tomatoes ruin your taste for anything .,0
"one visit is perfect ... comfy bed , great and friendly service .",1
i agreed and scheduled the surgery for wednesday .,0
but it was worth it .,1
maybe i will be able to update when i spend more time ... lol !,1
bar service was friendly and gin martini was strong but delicious .,1
so glad i did n't send the kids on ahead to the pool .,0
"most importantly of course , the food was amazing .",1
_num_ plate of food for our party comes out while others wait .,0
it seems way too small for the volume of foot traffic moving through it .,0
every time ( no joke ) they have messed up my order .,0
you just have to see this place at christmas to believe it .,1
it was $ _num_ after tax .,0
it did n't have a lot of flavor .,0
"remember , the call was on speaker so i overheard both sides .",0
both nathan and justin did a fantastic job !,1
lidia 's was a major disappointment for me .,0
one of our favorite restaurants .,1
i love this place .,1
some of us would actually like to get home to our families .,0
"also , between each visit from our waitress , there is a long wait .",0
this has got to be the most overrated restaurant in charlotte .,0
by far the best burgers in mount holly !,1
the waitress was very attentive and took good care of us .,1
"the food is pretty good as well , though service can be slow .",1
read the bad reviews .,0
they currently have chicken piccata on the august specials menu and it is excellent .,1
the bartenders attitude were like `` we r annoyed cause we r there '' .,0
i went here after seeing a musical and it was terrible .,0
"finally , we just said thanks , but no thanks and left .",0
went there _num_ weeks ago and it was horrible .,0
"the food , however , was disappointing .",0
really not much to say .,0
the coin operated laundry was another in consistent experience .,0
"busy for a monday night , speaks to the great food and good service !",1
i 've already admitted it 's nothing special .,0
what was left was less than 1/2 pound .,0
i was confused asked to speak tho the manager by another waitress .,0
"also , the home fries were just mediocre .",0
another _num_ min later he took our food orders .,0
and the parking lot is almost empty during the summer .,0
very professional and courteous wait staff .,1
the ambiance was beautiful .,1
they are probably fake reviews by friends .,0
"also my first time trying windy hill cider , loved it .",1
everything is so fresh and cooked to perfection .,1
"in fact the pad thai was so good , we ordered some to go .",1
"this is definitely a special occasion brunch , but it is surprisingly affordable .",1
it 's always very well maintained .,1
"richard , the manager was fantastic and made us feel at home .",1
the corned beef is nothing great and their side dishes are nothing special .,0
"once seated , service was extremely slow .",0
sauce again the thin eastern style .,0
the reservation was for _num_ and _num_ of us got there first .,0
the manager said i can take _num_ % off of your bill !,0
$ _num_ for wedding soup ?,0
great service and friendly folks .,1
"the restaurant has the diner feel , no doubt .",0
great music venue with good sound quality and friendly staff .,1
all around this place was great !,1
"service was n't the worst , but also not even as good as mediocre .",0
sushi is not overpriced although the rolls could be made better .,0
"if i could give signature desserts _num_ stars , i would .",0
it 's always a good experience .,1
lydia is an artist when it comes to brows !,1
my husband and i have been going to wan fu for years .,0
good selection of german beers .,1
actually a great steak with super service .,1
cute little shop more women 's clothing then mens .,1
the service is great and the food is delicious .,1
the specials are amazing .,1
one if the best i 've ever had .,1
wonderful place for kids and families .,1
very happy i was able to visit .,1
i would not suggest this bar to anyone .,0
a round of patron margaritas were horrible .,0
the veggies were all perfectly cooked and super fresh .,1
"lovely atmosphere , staff and food .",1
the person next to me ordered the beer battered giant fish sandwich .,0
i love this morton 's .,1
"overall this was a great diner , friendly and super fast service as well .",1
another lost sale opportunity .,0
my partner ordered the real deal and said it was delicious as well !,1
restaurant was really clean !,1
best shop in charlotte .,1
the process is impressive and delicious .,1
they simply did n't care .,0
i love this place .,1
the sad part is that its not even the technicians fault .,0
i been here before then said you can sit down now .,0
"i had an italian mojito which i do n't recommend , period ... blech .",0
what a hidden gem .,1
_num_ mins later we get our refills .,0
great tasty ... ... food ... ... .,1
"good stuff , good stuff !",1
"truly , you do n't need this kind of grief .",0
amazing selection of beers in the back .,1
always give the special a shot .,1
so what is so great about this place ?,1
"garlic knots were great , piping hot with great flavor .",1
friendly and helpful staff .,1
he could n't explain why he was asking the question either .,0
the service was mostly friendly but i was disappointed in my meal .,0
the only thing i paid for was the convenience of eating on green st .,0
loved the atmosphere and food while i was there .,1
flights are always delayed by ground crew .,1
i highly recommend it .,1
i will keep coming back .,1
the owner is very caring about the comfort and enjoyment of his customers .,1
i highly recommend this place for your lunch option .,1
a true waste of money .,0
they literally spoiled us !,1
if i could select zero i would have .,0
best chinese food i 've had in nc since moving from nyc .,1
the best hash i have ever had .,1
brixx is not the case !,0
"it had overpriced pizza , bathrooms , and seats .",1
it 's got a bit more of a fast food atmosphere .,1
"it was ready within seven minutes or so , not bad at all .",0
sat waiting _num_ minutes for a server to bring us menus .,0
"fresh eggs , delicious mac and cheese , corn bread .",1
"i really , really wanted to like this place .",0
"this is the closet i 've come , much to my disappointment .",0
i just love a restaurant that has a variety in food choices .,1
"slowly , our little dim sum dishes came out .",0
i can not imagine complaints about portion size !,0
the bloody mary was completely disgusting .,0
the issue was how grossly understaffed they were .,0
food and service was good .,1
one of the most refreshing cafe 's in pittsburgh !,1
it is better and the real thing .,1
but it was n't during peak hours .,0
service is super fast .,1
the price is n't worth it for the quality or quantity .,0
this place really is n't worth the time or money .,0
caring educated and compassionate vets and techs .,1
i ordered a $ _num_ ham and cheese crepe .,0
i would highly recommend it to anyone interested in an upscale dinner experience .,1
"for my appetizer , i chose the sausage in crust .",0
"all in all , great choice !",1
"fresh , tasty and just perfect for lunch .",1
returned with smiles and no hassle .,0
food was good and everyone in my party enjoyed their meal .,1
"if you are in the area , give this a shot !",1
i ca n't believe this airport has three and a half stars .,0
but maybe they 're not even trying !,0
john made us fish and a filet and both were really good .,1
the jamaican beef patties here are really tasty !,1
a very well managed cigar lounge .,1
thanks ranch house for so many good memory 's .,1
it has been a favorite of my fiance 's for years !,1
"horrible , horrible service .",0
"hold the phone , this is n't what i ordered .",0
and the one sit down restaurant that is open has no outlets .,0
they have the best selection i saw in the city .,1
they feature crafts from artists around the world and local .,1
the staff took care of us start to finish and the food was great .,1
the owners do nothing to attempt fixing it up .,0
"the sandwich was delicious , fresh rye and superb corned beef .",1
"the rare beef was rare , unlike most places .",1
it is not fancy but it is great .,1
how can you mess up a hot dog ?,0
"employees are friendly , courteous , and knowledgeable .",1
sadly this one did n't do that for me .,0
best doughnuts in pittsburgh .,1
will definitely be back .,1
i will be back !,1
loved their food and service .,1
cant wait until aaa calls me to renew my membership .,0
what a great deli !,1
i love waffle house .,1
service is friendly and quick !,1
services between spas are typically the same .,0
he turned me on to it and i love it !,1
food came out hot and fresh and i was very happy with our waiter .,1
i will definitely be going back .,1
the worst part of this last visit was the service .,0
"sub-par indian food , which passes in town .",0
this place is a good value for the amount of food you get .,1
the new haven style pizza is amazing .,1
dont fall for it .,0
"also , avoid goin on the thursday nights .",0
this hotel does not live up to the westin standards i 'm used too .,0
the selections change frequently but it was always delicious and extremely satisfying .,1
the contacts have small print and does not allow you to cancel your service .,0
i highly recommend it .,1
"eventually , i found bland tomatoes and shredded iceberg lettuce hidden far below .",0
a friend of mine had a philly cheesesteak that used ground beef .,0
i 'm not a coffee snob i can do with it or without it .,0
the food is good .,1
i sucked it up and ate the stupid beef .,0
i just came from lunch with coworkers here .,0
the queso was so good as were the steak fajitas !,1
"just is n't the same , maybe they sold ?",0
for chinese food this place is inexpensive and well done .,1
park road books is the best little book store in the carolinas !,1
the desserts were so rich and delicious .,1
service was extremely slow .,0
this airport has ridiculously long lines .,0
walked off the job and all the work completed was not done properly .,0
the food was super tasty and the atmosphere of the restaurant was nice .,1
i say `` some '' turkey wrap because it was really that unimpressive !,0
we had the jambalaya and it was decent .,1
my favorite restaurant in town !,1
"even after all of that , it still was n't very good .",0
this is what took red robin straight into the toilet .,0
_num_ weeks later and nothing has been done .,0
i now know why this place is always empty .,0
"honestly , it looked like someone had already starting eating this .",0
it was n't even decent enough for one star .,0
"great service , great food , great ambiance .",1
it was more than once that i heard glass breaking .,0
chicken was grilled at some point ( grill marks ) and was very dry .,0
this nice little hole in the wall is a gem to visit .,1
i enjoyed the clean rooms and the great view of the city !,1
freshly made and worth the trip down .,1
i went for a day to see how it was and really enjoyed it .,1
best dinner in a restaurant in the _num_ years we 've been in charlotte .,1
"i love the tuna tar tar , dragon roll & spicy scallop hand roll .",1
this place just does not seem serious about business standards and drinks were weak .,0
the service is always impeccable .,1
no hurry to go back there ... ever .,0
i do n't know if i can ever return to buca .,0
i have never visited a store with such a bad staff .,0
"check their hours , though , because they close in between lunch and dinner .",1
sammy 's is the best dive bar ever !,1
i did n't like it .,0
this little vietnamese restaurant is one of my favorite restaurants in pittsburgh .,1
a good place to study or have a quiet conversation .,1
"that 's it , no more trying indian restaurants in champaign .",0
my fianc and i shared two appetizers and an entree .,1
i have eaten it on the bun and it is very tasty too .,1
nina the manager and ashley the cashier extremely rude .,0
"ambiance , like i said , left much to be desired .",0
she took the plate away but offered no real apology for the mistake .,0
"dew & when they brought it out , it was in a can .",0
this visit began with a shared calamari .,1
i called back and eventually he offered to refund my money .,0
let me tell you about the worst shopping experience i 've ever had .,0
the service is terrible .,0
"our waitress was funny , friendly , attentive and highly knowledgable about the menu .",1
she did n't really care for any of it .,0
reasonably priced & friendly service !,1
"compared to other sub shops , this is my favorite .",1
crispy noodles were stale .,0
"salads are simple , but also great .",1
"hands down , this is the best ice cream parlor in pittsburgh .",1
man was i disappointed by my experience here .,0
i tried the new jersey sub and it hit every spot .,1
the service is soooo slow .,0
"they lead me to each exit , and each time they were locked .",0
the service is rather incompetent .,0
we had dinner and drinks tonight and it was great as usual .,1
our server linda was great .,1
bad business practices are very disappointing .,0
"on a positive note , saturday is half off on ladies night .",0
best sushi i have had in any us city .,1
the biggest problem was that the meat was under cooked .,0
our server was friendly and attentive .,1
this restaurant is so gross and it 's dirty .,0
"now , their service : really lackluster .",0
"sad , cause i always was a fan of this company .",0
you are open for another _num_ hours .,0
maybe it 's just hertz .,0
"although i 'm not a burger person , theirs was pretty tasty .",0
food is delicious and served in large portions .,1
food was really good .,1
absolutely amazing we tried around four things on the menu .,1
if you use a teller you get charged $ _num_ for the month .,0
"every time i have been , the bar has been understaffed .",0
mac and cheese is awesome but small portions .,0
there were _num_ people total sitting at the bar including our party .,0
accompanying risotto was good .,1
they 're freakin ' amazing .,1
she cut me off every time i started to speak .,0
i thought it was going to rip my skin off .,0
always stop here when in the area !,1
the customer service is stellar .,1
one was good enough for me ... two might be pushing it .,1
hand cut fries were good also .,1
the cake icing is the best around !,1
hidden gem of a place .,1
there is no reason that they should n't have caught that he was dying .,0
"weeks later and i 'm still feeling fabulous , will definitely be back .",1
the guy waiter was not much nicer .,0
"best pizza in charlotte , brooklyn south is a close second .",1
i gave them _num_ full business days to fix my car .,0
so that forced me to go there again .,0
both plates were mediocre at best .,0
it 's a great place to go with girlfriends !,1
great atmosphere including a dj !,1
i would highly recommend and i will definitely be going back .,1
tremendous selection of beers .,1
food was delivered _num_ minutes later .,0
"basically , reservations mean nothing here .",0
this place is not worth the price .,0
everyone was very kinda and friendly .,1
wo n't come again to this place ... .,0
i have tried a few places with no luck .,0
then change how you handle your customers .,0
have been to many restaurants but this was my worst experience .,0
the shrimp creole was really good .,1
the reason why i rate this place low is the atmosphere is abysmal .,0
will be busy during peak lunch hours from 11:30 to 1:30 pm .,0
i had a gift card and we used it here .,1
it 's been robbed on _num_ different occasions while i was shopping there .,0
every time i go there it 's just so mediocre .,0
"and note , the chicken was not anything to write home about either .",0
not off to a good start .,0
"good place to watch football , hockey , baseball .",1
great place and i will be back !,1
"the selection is amazing , and the staff could not be more helpful .",1
best i 've ever had !,1
she said ummm not really !,0
she understood but it was the owners call .,0
next to the conference room is the bathroom which they do keep clean .,1
this is the second time this has happened in less than a month .,0
but it is busy fun entertaining and a good time out .,1
i do n't understand why he is working there .,0
any choice is super delicious !,1
"nah , just sit there and wait .",0
as soon as we got off the shuttle things turned unorganized .,0
she did not greet me as i opened the door .,0
they charge about $ _num_ for a drink with no free refills .,0
very clean and recently updated .,1
great beer and great space .,1
appetizers : nothing really wrong here .,0
each of these was great .,1
i always enjoy the environment .,1
everything else on the meal is great .,1
you will come out feeling incredible .,1
"also , omg ... .",1
and i suppose it is .,1
minus _num_ stars for not being much better than starbucks .,0
the owner has to be the problem .,0
they were very quick ( food ordered and delivered in under _num_ minutes ) .,0
"friendly , kind and super nice .",1
what i received was just turkey .,0
their beds are so comfortable .,1
the central terminal is a hub of activity and great for people watching .,1
you wo n't be doing it this sunday .,0
no fortune in the fortune cookie !,0
went there on saturday night to get some food to go .,0
* flavor - the ice cream here is too sweet .,0
she said they were all good and it 's hard to make a decision .,1
laurie and katie are both extremely friendly !,1
there 's plenty other spots with a lot friendlier staff in charlotte .,0
the setting is great !,1
"however , every times i drive thru pittsburgh , i always stopped here .",0
"service was good , and restaurant super clean when i went .",1
i would not go back because i did n't feel welcomed at all .,0
a pedi place and a foot massage place next door to one another ?,0
wonderful bed and breakfast in charlotte !,1
"i highly recommend this place , it 's a gem !",1
drop off is super easy also .,1
it was absolutely delicious .,1
"great sauces , wonderful meats !",1
the receptionist can not handle tips at all .,0
we will not be back .,0
in fact the room we sat in had approximately _num_ open tables .,0
very poor service and i was completely unimpressed .,0
such a comfortable and comforting place .,1
this location is n't consistent .,0
fries were fried in old grease .,0
this is probably some of the best asian cuisine in charlotte .,1
beautiful night on the patio enjoying a crab pesto pizza .,1
the crab soup is excellent also .,1
"great hoagies , possibly the best in the burgh .",1
two of us were forced to go the next round .,0
the main courses are extremely overpriced ( not unusual for walnut st. ) .,0
"the staff is always pleasant , courteous and exhibits exceptional skill .",1
they have a great beer selection too .,1
atmosphere is very upscale and and romantic .,1
-the room was just dingy .,0
i run several companies and have never run into to this .,0
"ok still , we can hurry .",0
i have a coupon for free _num_ inch pizza when purchasing _num_ inch pizza .,0
the vegetarian tom yum soup was perfect !,1
the crab bisque soup was creamy and delicious .,1
it was cold and soggy .,0
"waited _num_ minutes for drink , waitress got my order wrong .",0
nothing to write home about .,0
"my husband 's salad , italian chopped , was better .",0
they ended up making a new one and the wait was over _num_ minutes .,0
"however , the food ... .",0
i could n't even stomach a few bites .,0
i am thrilled with all the renovations discovery place has done .,1
she never even gave us silverware or napkins .,0
better yet -- it 's local !,1
neither were anything special .,0
i called and they were booked solid for two weeks .,1
the wait staff did n't even acknowledge our party of _num_ .,0
"if you 're looking for quality amazing chinese food , this is the place !",1
maggie and john are the best .,1
the steelers will always be my favorite team .,1
"unfortunately , the service is some of the worst i 've experienced in charlotte .",0
it was ok buy upset my stomach .,0
poor quality ; _num_ .,0
your bad attitude and horrible service is part of the reason .,0
this is my favorite center city ymca .,1
"there were no open tables , despite having reservations .",0
i also like the small dessert bar they set up .,1
made my highlights look so natural .,1
piss poor customer service doesnt even begin to cover it .,0
the chicken tacos were good .,0
we would definitely recommend them to others .,1
"the place has definitely got soul , awesome folks at co-op .",1
season passes are well worth the money .,1
"finally , drivers range from super friendly to scary or just rude .",0
definitely a top _num_ dining experience that i 've had in pittsburgh .,1
"after walking around the strip district , this certainly hit the spot .",1
the staff here did such a great job .,1
not sure if this was fixed or not .,0
"service was attentive , but everything seemed to go wrong .",0
waited for about _num_ minutes at the entrance .,0
the movie selection is always great !,1
great dentist and staff !,1
"in conclusion , go !",1
the sweet potato fries are wonderful .,1
i would highly recommend these guys for any project .,1
loved that the waitresses knew the regulars by name !,1
she was the only good thing about the whole experience .,0
we will definitely return next time we are in pittsburgh !,1
very dissatisfied and disappointed .,0
stay away from this group of companies .,0
that is a downfall .,0
if i could give zero stars i would .,0
it was cold and not a good portion .,0
not sure when or if i will go back .,0
i have received poor service from this kfc location many times .,0
the filet was excellent .,1
we picked up some of their wonderful pastas .,1
"not very friendly and welcoming , just adequate .",0
i shop the bulk bins because there is variety .,0
somehow i find that their food is kinda bland .,0
the best i have ever had .,1
breakfast was huge and tasty .,1
my server was friendly and cute and kept my drink filled .,1
"they only accept cash , probably because they make up prices as they go .",0
i had a cake batter martini which was tasty !,1
the catfish was perfect and full of flavor .,1
highly recommend for your event .,1
really fantastic coffee and a wonderful staff .,1
they have a great selection of designers and some very interesting and unique items .,1
the food was just mediocre .,0
it definitely has a neighborhood feel to it .,1
they are very friendly on the phone .,1
i topped it off with a slice of sweet potato pie .,1
finally an authentic visit in pittsburgh !,1
"so on to the hoagies , the italian is general run of the mill .",0
went a second time and did not have a great experience .,0
great staff and a good price .,1
"the set up was nice , albeit a tad cramped upstairs .",1
i 've had a lot of bad experiences at this store .,0
"well , this place manages to be worse than it .",0
the absolute worst customer service .,0
because you could n't fit me in within a day i get screwed ?,0
i love the neighborhood atmosphere .,1
the service is less than stellar .,0
the descriptions were nice but the food did n't live up to it .,0
"ingredients were spot on , but it was lacking any real flavor .",0
my breakfast was _num_ % correct .,0
"then , you drive around , then , you pull up like normal .",0
food better than the normal burger chain so understand the slightly higher price .,1
"overall , not impressed .",0
the only thing i enjoyed was the wonton soup !,0
i was not impressed with my sandwich there .,0
the ribs are over cooked .,0
i love stores like this !,1
their food is delicious and i 've always had positive experiences there .,1
"large portions , great ingredients at a low cost .",1
"the wonton soup was watery , and the wontons were inedible .",0
i wo n't be going back .,0
their nachos is pretty good .,1
my girlfriend and i came to have some dinner around _num_ pm .,0
i will be back !,1
the staff is generous with the samples too .,1
this is the worst taco bell i 've ever been to .,0
i would highly recommend this place .,1
they do n't care about their tenants .,0
we enjoyed the seafood gumbo as an appetizer .,1
the pepperoni is high quality and dough delicious .,1
the service is very rude .,0
we had a seat next to the fireplace which set the mood perfect !,1
for the price this is a _num_ star .,0
i was not impressed and will never go back !,0
it 's that perfect delicious comfort food that these up coming autumn days .,1
"great prices , huge portions and friendly environment .",1
"mac and cheese boring , bland , no flavor .",0
always been able to find a spot to park .,1
cooked fresh to order and perfectly salted .,1
we shared our meals and they were both delicious .,1
nothing happened to it .,0
"atmosphere is not that unique , elevator music .",0
"third , the food was lacking in proper seasoning and without any taste .",0
"oh , pat buses , why ca n't i quit you ?",0
"strong strong strong drinks , cash only , smoky and dark .",1
the steak sandwich is awesome !,1
"from the bakery , you walk along a long meat wall .",0
"not super bad service , but i 've certainly had better .",0
these guys are the best .,1
a good quick service option when you ca n't wait for the sit-down restaurants .,1
"i read online that it opened at 11am , wrong .",0
i will never spend another penny there as long as i live .,0
do n't get beer here .,0
i had high hopes for the quality but i was disappointed .,0
it 's pricing itself out of madison .,0
and everything is ala carte !,0
this was a complete waste of my time and money .,0
literally these are the words we just exchanged after getting home .,0
i love breakfast and they do it right .,1
waiters were very attentive and funny .,1
their selection of flavored lattes is unique and amazing .,1
i called ahead and they were able to repair my vehicle right away !,1
"pleasant staff , clean and not over crowded .",1
it was n't the best but it was really good .,1
_num_ ) ok everyone can have a bad day so we returned this sunday .,0
always support local business !,1
they always have good specials that normally are n't on the menu .,1
they have great cheeses and a variety of dried lentils and spices .,1
thanks for the years of amazing service so far and many more to come !,1
", but instead they decided to take advantage of my position .",0
pine island is a hidden gem .,1
good food and good service !,1
their selection of the equipment is good too !,1
yes it 's totally hipster and funky .,1
it 's worth more time to further explore their menu .,1
the staff was great and service was impeccable !,1
always a good time .,1
this has been a favorite for years .,1
"oh well , ca n't win them all i suppose .",0
"he was loud , very loud .",0
5:30 on a saturday and only two other tables were occupied .,0
came here after a _num_ 1/2 drive expecting the best sandwich i ever had .,0
i would absolutely not return to this salon .,0
this place is terrific !,1
"decor and service were just fine , no issues there .",0
she did not apologize nor did she take me seriously .,0
lotus is one of my regular shopping haunts .,1
always good vibes at shadow !,1
night manager tried to enter my room at _num_ am while i was sleeping .,0
the owner is so nice and that 's what really makes this place .,1
"and the original ring i picked out is absolutely gorgeous , and very unique .",1
the food and drinks were delicious .,1
but the woman who runs the restaurant with her husband blew my mind .,0
but we never let the house get to a point of disaster .,0
nice patrons and employees all around .,1
the worst customer service i have ever experienced .,0
service is always great ( steve ) .,1
"its super cheap , flavorful , and the place is clean .",1
"i added mushrooms , it was very flavorful .",1
"great dinner , great music , atmosphere was on point .",1
"btw , we did n't have an inexpensive lunch .",0
great balance of flavors and textures in tuna dish .,1
this is one of the best restaurants in pittsburgh !,1
i enjoyed the hot dog .,1
i will definitely be visiting this wonderful restaurant again !,1
"great service , attention to detail , spot cleaning and special requests .",1
haircut looks and feels great .,1
jessica our server was terrific and attentive .,1
this place has the worst service i have ever seen .,0
employees would much rather carry inappropriate conversations for the work place than assist .,0
got my free birthday meal and just substituted it for something of equal value .,1
there is a lot packed into their space .,1
the atmosphere was great as was the service .,1
security here is always a negative experience .,0
the beer cave is a must !,1
"she keeps it trimmed , healthy , and growing !",1
"two levels , downstairs looks more the irish pub part .",1
i 've tried a lot of pizza places and this is so bad .,0
"would n't want to eat there again , especially at full price .",0
"however , the service is seriously lacking .",0
salsa were runny and definitely not spicy .,0
has all the essentials !,1
over crowded tiny gates with no place to sit or charge a phone .,0
best indian dish in charlotte !,1
"this place was really nice , for the money it should be .",1
he also ordered cheese curds with it .,0
"well hell , what was your first guess ?",0
lots of dinner options ; something for everyone .,1
not to mention the constant slow internet .,0
the food is only okay .,0
this sandwich shop lacks all of those things .,0
i could not see a thing .,0
$ _num_ / salad ?,0
